GEO/PHYSACT,Walking to get to and from place,Cycling to get to and from place,Aerobic sports,Muscle-strengthening,Gender,Age
Hungary,86.8,42.1,40.9,24.8,female,40
Malta,71.3,1.5,50.5,4.8,female,40
Austria,74.4,22.7,70.9,40.4,female,40
Poland,87.2,26.1,24.3,7.8,female,40
Portugal,54.3,3.4,31.3,9.2,female,40
Romania,99.3,6.5,3.2,0.5,female,40
Slovenia,87.1,36.6,56.9,40.0,female,40
Slovakia,91.3,32.9,34.8,15.0,female,40
Finland,81.0,25.2,77.7,54.3,female,40
Sweden,83.4,31.9,74.3,53.2,female,40
United Kingdom,72.0,6.2,62.7,28.6,female,40
Iceland,57.1,14.4,75.0,60.9,female,40
Norway,63.7,28.0,74.1,39.2,female,40
Turkey,74.8,1.0,5.5,1.4,female,40
Belgium,0,0,0,0,female,50
Bulgaria,96.4,3.6,5.7,5.1,female,50
Czech Republic,93.5,34.0,32.4,16.9,female,50
Denmark,80.3,45.6,81.9,51.0,female,50
Germany (until 1990 former territory of the FRG),73.6,32.2,69.6,45.7,female,50
Estonia,85.4,27.4,38.6,11.6,female,50
Ireland,87.2,8.9,41.5,30.1,female,50
Greece,84.3,7.0,22.2,11.2,female,50
Spain,83.3,5.7,43.9,11.4,female,50
France,66.8,7.9,49.0,22.5,female,50
Croatia,88.0,27.4,19.6,6.3,female,50
Italy,75.4,13.1,23.6,11.9,female,50
Cyprus,13.9,1.0,39.1,6.5,female,50
Latvia,91.0,19.5,37.9,14.4,female,50
Lithuania,83.2,21.0,19.6,10.3,female,50
Luxembourg,89.9,11.4,61.8,33.3,female,50
Hungary,86.8,48.0,29.7,19.4,female,50
Malta,75.8,1.0,52.9,4.4,female,50
Austria,76.9,23.7,74.5,42.4,female,50
Poland,88.9,28.5,17.9,4.1,female,50
Portugal,65.5,2.0,28.2,7.3,female,50
Romania,99.3,5.9,0.8,0.1,female,50
Slovenia,86.7,31.3,54.0,39.9,female,50
Slovakia,91.2,30.7,26.4,11.1,female,50
Finland,82.1,23.2,76.7,54.4,female,50
Sweden,79.6,29.8,73.2,50.3,female,50
United Kingdom,61.2,6.3,57.7,27.4,female,50
Iceland,53.2,11.3,73.2,57.3,female,50
Norway,62.8,24.2,75.9,36.8,female,50
Turkey,72.9,0.8,3.0,0.7,female,50
Belgium,0,0,0,0,female,60
Bulgaria,89.9,2.1,1.9,2.4,female,60
Czech Republic,92.3,31.0,19.9,11.2,female,60
Denmark,78.1,43.8,76.2,42.2,female,60
